NO.,POC ID,POC NAME,REGION,LOCATION,BDR NAME ,,,,
81,0010Y00001YYkmnQAD,Rhoda Grocery,NORTH WEST,Mugumu,Gisela Ndaki,,,,
82,0010Y00001VVbmNQAT,Wema Grocery,NORTH WEST,Mugumu,Gisela Ndaki,,,,
83,0010Y00001VUfb5QAD,Baloon Grocery,NORTH WEST,Mugumu,Gisela Ndaki,,,,
84,0010Y00001YYnRPQA1,Seronera,NORTH WEST,Mugumu,Gisela Ndaki,,,,
85,0010Y00001VVAONQA5,Impala Bar,NORTH WEST,Mugumu,Gisela Ndaki,,,,
86,0010Y00001VySBnQAN,Wanyancha,NORTH WEST,Mugumu,Gisela Ndaki,,,,
87,0010Y00001YYj7cQAD,Nyangi Bar,NORTH WEST,Mugumu,Gisela Ndaki,,,,
88,0010Y00001YYiOmQAL,Nejos pub,NORTH WEST,Mugumu,Gisela Ndaki,,,,
89,Prospect,Makolele Bar,NORTH WEST,Mugumu,Gisela Ndaki,,,,
90,0010Y00001YYhRLQA1,Mton Bar,NORTH WEST,Maswa,Daniel Mrikaria,,,,
91,Prospect,Mama's Bar,NORTH WEST,Maswa,Daniel Mrikaria,,,,
92,0010Y00001YYUZ1QAP,Criss Pub,NORTH WEST,Tarime,Carlos Mabimbi,,,,
93,0010Y00001YYXGEQA5,Highest Bar,NORTH WEST,Nyamongo,Carlos Mabimbi,,,,
94,0010Y00001YYWNvQAP,Gentle Bar,NORTH WEST,Nyamongo,Carlos Mabimbi,,,,
95,0010Y00001VyWxvQAF,Upendo Bar Mahande,NORTH WEST,Nansio,Benjamin Kinoti,,,,
96,0010Y00001YYYp5QAH,Kasarani Bar,NORTH WEST,Nansio,Benjamin Kinoti,,,,
97,0010Y00001YYq3kQAD,Yamoto Pub,NORTH WEST,Bunda,Vicent Baltazal,,,,
98,0010Y00001YYiBEQA1,Natta Pub,NORTH WEST,Bunda,Vicent Baltazal,,,,
99,0010Y00001Vy3awQAB,Police Mess,NORTH WEST,Musoma,Robert Maswanya,,,,
100,0010Y00001Vy3cTQAR,Nyota ya Ng'ombe,NORTH WEST,Musoma,Robert Maswanya,,,,
101,0010Y00001QK5EZQA1,NEW ADAM BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
102,0010Y00001QK2SJQA1,SHIKAMOO PUB,SOUTH,ILOMBA,SAKINA MKETO,,,,
103,0010Y00001QK32iQAD,MWANJI PUB,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
104,0010Y00001QK32rQAD,PETER WA PETER PUB,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
105,0010Y00001QK32xQAD,MWAMBURUMA  HIGH WAY BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
106,0010Y00001QK32yQAD,WEMA BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
107,0010Y00001QK332QAD,PETER WA PETER PUB B,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
108,0010Y00001QK33AQAT,FLAMINGO PUB,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
109,0010Y00001QK33DQAT,IVALALILA MIN PUB,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
110,0010Y00001QK33GQAT,KATAVI VILLAGE PUB,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
